2;В случае стресса разбить стекло и погладить котёнка;клас = 1
4;Дорогая, я по дороге домой куплю наполнитель для котов.Прекрасно, дорогой. Вечером будем вместе наполнять котов!;клас = 1
6;Мурзик, давай скажем папе с мамой, что и конфеты ты все съел. Какая тебе разница, ведь пилюлей за поваленную ёлку тебе уже не избежат;клас = 1
8;Слышу, как наверху робот-пылесос свалил с ёлки игрушку и гоняет её по этажу.Робопылесосы - это коты будущего;клас = 1
10;Боязнь монстра, который схватит тебя, если ты высунешь из-под одеяла руку или ногу - это генетический страх, который выработался у человека за тысячелетия жизни с котом;клас = 1
12;Новогоднее настроение: наряжая ёлку, подрался с котом из-за дождика;клас = 1
14;Когда подобрал котёнка на помойке, он тоже может потом сказать, что нашёл тебя на помойке;клас = 1
16;Кошка Карла Лагерфельда, унаследовавшая 200 миллионов долларов, пожертвовала крупную сумму на борьбу с собаками;клас = 1
18;Чёрный юмор кошек:Кто первый встал, того и тапки;клас = 1
20;Если вы слишком много работаете - заведите кота. Силой личного примера он научит вас истинным ценностям: отдыху, сну и созерцанию;клас = 1
22;Если кот будит вас ровно в пять утра, вам это надоело и вы не знаете что делать — просто отберите у него часы;клас = 1
24;Перейду дорогу любому. Недорого. Чёрная кошка;клас = 1
26;Вы расист, если не можете найти чёрную кошку в тёмной комнате, даже если её там нет;клас = 1
28;Мой кот - участник движения BLM.Во-первых, он чёрный.Во-вторых, он каждую ночь устраивает погром в квартире;клас = 1
30;Послушайте, ваш кот так ужасно орёт про ночам?Да, с тех пор, как он сожрал канарейку, он вообразил себе, что умеет петь;клас = 1
32;Карантинные хроники. Наши собаки уверены, что мы бросили работу ради них. Наши коты думают, что нас уволили, потому что мы - лохи. В чём, собственно, они никогда и не сомневались;клас = 1
34;Тяжелей всего сейчас котам, когда в доме самоизолированы ВСЕ дети;клас = 1
36;Как сказать коту, что нерабочие дни продляться до 30 апреля;клас = 1
38;Многие мечтали пожить хотя бы неделю как их котэ. Ну вот...;клас = 1
40;Мой кот начинает проявлять нервозность, потому что я уже несколько дней постоянно нахожусь в его квартире…;клас = 1
42;Пятый день лежу на диване, кот уже видит во мне конкурента;клас = 1
44;Я никогда не называл себя котовладельцем. У меня нет никаких иллюзий по поводу того, кто кем на самом деле владеет;клас = 1
46;Пробыв несколько дней дома, я понял почему кот постоянно просит жрать...;клас = 1
48;Женщине биологически надо 80 кг волосатого существа рядом. В зависимости от её красивости и сговорчивости, это будет либо мужик, либо 10-15 котов;клас = 1
50;Как хорошо, что кот, хорёк и я едим одно и то же. Часто выручаем друг друга;клас = 1
52;Чтобы кошки быстрее поддавались дрессировке и вообще вели себя как шёлковые, Юрий Куклачев заказывает и демонстративно ест шаурму;клас = 1
54;Кот съел четыре килограмма шашлыка, взвесили кота - ровно 4 килограмма. Загадка - куда делся кот?;клас = 1
56;У кого-то кошки спят на бумаге, у кого-то в коробках, а я свою на помойке подобрал. И она иногда спит на кухне в мусорном ведре;клас = 1
58;Коварству кошек нет предела! Они больше не могуть съесть нас, как их предки ели наших предков. Так они лаской заставляют нас покупать им еду!;клас = 1
60;Мой друг никогда не носит костюм, галстук, портфель, часы, носовой платок, расчёску, обручальное кольцо, смартфон...Котам это не нужно;клас = 1
62;Сегодня мне мой кот сказал, что если бы не он, то я бы сошёл с ума от одиночества;клас = 1
64;Раскрыта загадка улыбки чеширского кота. Это всё, что осталось от кота Шрёдингера;клас = 1
66;Муж упрекает меня в том, что я коту готовлю чаще, чем ему.Я вот думаю, признаваться или нет, что я готовлю только коту, а он просто доедает;клас = 1
68;Канадские знакомые рассказывали, как на их соседей настучали другие соседи за то, что "их кошка грустная, и у неё нет игрушек". Пришлось покупать кошке игрушки;клас = 1
70;У бабушек со склерозом самые толстые и счастливые коты...;клас = 1
72;У дочки кот привел чужую кошечку в дом и разрешил есть из своей миски. Дочь сказала, что теперь примерно представляет чувства свекрови при знакомстве с невесткой...;клас = 1
74;У меня котёнок - оптимист. Жрёт корм для взрослых собак крупных пород;клас = 1
76;Глажу кошку после того, как руками поем жареную курицу или колбасу, чтобы ей было вкусно умываться;клас = 1
78;Пришел к выводу, что наш кот относится ко мне, как к богу. То есть, игнорирует мое существование до тех пор, пока ему от меня что-то не понадобится;клас = 1
80;В субботу решил посадить кошку на диету, а то она слишком толстая стала. А сегодня она родила. А на что ты готов ради жратвы?;клас = 1
82;С утра до рассвета начали петь птички. Наш кот часами слушает их на улице, стараясь приблизиться к каждому солисту.Но солисты начеку!;клас = 1
84;Радикальных феминисток всецело поддерживают только кошки, потому что они максимально заинтересованы в том, чтобы женщина оставалась одинокой всю жизнь;клас = 1
86;Если кошка умывается - жди гостей.Если кошка при этом чистит зубы зубной щеткой - гости будут в белых халатах;клас = 1
88;Лайфхак. Можно вечером класть пакетик корма под подушку, а когда утром коты придут будить на предмет пожрать, не просыпаясь вскрыть его и забросить подальше.;клас = 1
90;Жена привела вторую кошку.Первая кошка считает, что лучше бы я привёл вторую жену;клас = 1
92;Кто то любит собачек, кто то кошечек. А я люблю волков, они никогда не срут в доме;клас = 1
94;В пачке вискаса теперь не 400, а 300 грамм, приходится объяснять коту про нефть, про ндс и про пенсии;клас = 1
96;"В рот мне ноги" - это способ, которым кошка будит меня по утрам;клас = 1
98;Нам очень приятно, когда кошка мурлычет лёжа у нас на коленях – помогая снять стресс, но и для кошки самый лучший диван – это её хозяин;клас = 1
100;Дома жутко холодно, греемся всем, чем можно: кондиционером, компьютерами и котом!;клас = 1



