1;Мой батя относится к пандемии очень серьёзно.Почему ты так думаешь?От него постоянно пахнет санитайзером;клас = 0
3;А вы в курсе, что в четверг исполняется ровно год двухнедельному карантину;клас = 0
5;Всех вакцинированных Pfizer просят подойти к 5G-вышке и постоять пять минут, чтобы скачать обновления против нового штамма коронавируса;клас = 0
7;В странах, где после вакцинации запрещают пить не три дня, а один, количество привившихся в три раза больше;клас = 0
9;Вложенные в производство масок деньги давно отбиты – пора закругляться с пандемией;клас = 0
11;Приходит дама к врачу:Доктор, а можно вирус удалить, а корону оставить;клас = 0
13;Рабинович, вы тоже обратили внимание, что после ареста Навального заболеваемость пошла на убыль?Таки, да.... маски пора снимать. В них труднее опознавать протестующих;клас = 0
15;Странно, когда люди, которые едят чипсы по 30 рублей, интересуются составом вакцины…;клас = 0
17;Иных уж нет, а те далече – Они любили cоvid-встречи;клас = 0
19;Мужчина, вы где такую масочку брали?Я – сварщик;клас = 0
21;Я не знаю, как в наше время показаться более круто, но я сейчас видел мужика, у которого зубочистка торчала сквозь маску на лице;клас = 0
23;Деньги не пахнут? Проверься на коронавирус;клас = 0
25;В банке предъявил паспорт, попросили опустить маску... возникло ощущение, как если бы штаны попросили спустить;клас = 0
27;Чехия прекращает разработку своей вакцины от коронавируса. У них всё время получается пиво;клас = 0
29;Сегодня в России зафиксировано 23456 новых случаев заболевания коронавирусом. А еще 98765 новых случаев не зафиксировано;клас = 0
31;Если внимательно присмотреться, то во всём есть свои плюсы. Например, во время масочного режима куда-то исчезли несимпатичные девушки;клас = 0
33;Скоро Новый год! Пора изменить жизнь к лучшему.Маску в кармане на свежую заменить собрался;клас = 0
35;Китай заявил, что появление в Британии нового штамма коронавируса - это нарушение авторского права;клас = 0
37;Вы слышали: Путин сказал, что сделает прививку от коронавируса? А кому сделает-то?;клас = 0
39;Из-за коронавируса COVID-19 отменили концерты Ольги Бузовой... Уже в который раз Природа встает на защиту людей!;клас = 0
41;Володин сообщил о пяти случаях повторного заражения COVID-19 в Госдуме.Странно, почему депутаты до сих пор не защитили себя законом о запрете повторного заражения!;клас = 0
43;Лучшим врачом года признан доктор, давший совет "Покупая хлеб на 5 дней, вы снижаете риск заражения коронавирусом на 80%;клас = 0
45;Ну, карантин на Рождество немцы как-нибудь стерпят, а вот на Курбан-Байрам могут и взбунтоваться;клас = 0
47;А что делать с теми, кто не носит маски? Да чихайте на них!;клас = 0
49;Выздоровевшие от ковида болеют только один раз.Да и невыздоровевшие тоже;клас = 0
51;На заводе УралВагонЗавод началась ловля трезвых слесарей для вакцинации. Пока не поймали ни одного;клас = 0
53;Как только Голикова сказала, что для вакцинации надо быть трезвым, а так же потом 42 дня не пить - я сразу понял, что массовая вакцинация в России провалилась;клас = 0
55;О российской вакцине от коронавируса уже слагают легенды, сказки, тосты. Причем, лучше всего получаются сказки;клас = 0
57;Большинство россиян отказалось прививаться после того, как вице-премьер России Татьяна Голикова призвала не пить спиртное в течение 42 дней после вакцинации от COVID-19;клас = 0
59;О российской вакцине от коронавируса уже слагают легенды, сказки, тосты. Причем, лучше всего получаются сказки;клас = 0
61;Вакцинацию непроверенной вакциной решили начать с учителей. И правильно. Будут знать, как выборы подтасовывать;клас = 0
63;Владимир Путин приказал вакцинировать миллионы россиян, чтобы убедить самого себя в безопасности российской вакцины;клас = 0
65;Зашел супермаркет, охранник замерил температуру: 35,2.Суки, уже на входе обвесили;клас = 0
67;В гости можно сейчас позвать только одну семью, а на похороны 30 человек.Я приглашаю вас на похороны моего гуся, который помрёт 24 декабря;клас = 0
69;Кто не успел жениться, поспешите. Только в этом году свадьба без гостей;клас = 0
71;Моя борьба с открыванием пакетиков в магазине пока заканчивается заплёванной маской изнутри;клас = 0
73;Забавляют люди, которые всю жизнь едят сосиски, но отказываются от вакцины, потому что не знают, что в ней может содержаться;клас = 0
75;Если у нас штрафуют за нахождение без маски в общественном месте, почему не премируют тех, кто носит по две?;клас = 0
77;Дайте мне, пожалуйста, две банки черной икры.А у тебя маска не треснет?;клас = 0
79;Если кто-то не соблюдает соц. дистанцию - не стоит сразу делать замечание, просто тактично кашляните;клас = 0
81;Минута молчания за женщин, которые надули губы за 2000 евро и сейчас вынуждены носить маску за 1 евро;клас = 0
83;Говорят, что третья волна коронавируса наступит в марте. А можно сразу озвучить, сколько сезонов в этом блядском сериале?;клас = 0
85;Не так страшен черт, как его мутации;клас = 0
87;А теперь хорошие новости! За последние сутки 23 456 граждан начали выработку антител к коронавирусу. В больницах освободилось 490 коек;клас = 0
89;Как называется варенье без вкуса и запаха?Ковидло!;клас = 0
91;Есть вопрос! Может, кто с таким уже сталкивался? Если в маске поломалась проволока, можно ли её как-то поменять или это уже всё?;клас = 0
93;И где же заражается ковидом наша элита? В общественном транспорте не ездит, по магазинам не ходит. Есть только одно объяснение: официанты плюют им в еду;клас = 0
95;Пошла на кухню проверить, есть у меня СОVID-19 или нет. Нюхала копченое сало.Есть две новости. Коронавируса нет. Сала теперь тоже нет;клас = 0
97;Российские сыровары решили побаловать покупателей и выпустили сыр "Covid-19".Он не имеет ни вкуса, ни запаха;клас = 0
99;Если вы помните, что такое диск B: - вы входите в группу риска по коронавирусу;клас = 0





























